,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
305,=Excellent=,Love it!,,,
306,=Poor=,Useless,,,
307,=Excellent=,Good moisture!,,,
308,=VeryGood=,Got here quick!,,,
309,=Unsatisfactory=,Waste of money !,,,
310,=Good=,"Decent and affordable, but...",,,
311,=Unsatisfactory=,It leaves residue,,,
312,=Unsatisfactory=,Small,,,
313,=Excellent=,Amazing Stuff!,,,
314,=Good=,It irks okay,,,
315,=Poor=,Kinda works...?,,,
316,=Poor=,doesn't do anything,,,
317,=Good=,"Age Repair Good, Wrinkle Cream Bad",,,
318,=Good=,simple,,,
319,=Unsatisfactory=,will not buy again,,,
320,=Excellent=,"A necessity for everyone, a classic.",,,
321,=Unsatisfactory=,Not for me.,,,
322,=Unsatisfactory=,Not for my face,,,
323,=Excellent=,quick absorbtion,,,
324,=Poor=,dml moisturizing lotion,,,
325,=Unsatisfactory=,I smell old people,,,
326,=Good=,Average!!,,,
327,=Good=,its ok,,,
328,=Excellent=,neutrogene oil free moisture sensitive skin,,,
329,=Unsatisfactory=,Filler,,,
330,=Unsatisfactory=,Too expensive for lackluster results,,,
331,=Unsatisfactory=,It's okay,,,
332,=Unsatisfactory=,Whew! It stinks!,,,
333,=Good=,just regular shampoo dyed red,,,
334,=Unsatisfactory=,Color fast but leaves hair feeling dry,,,
335,=VeryGood=,This stuff works very well. I have used this ...,,,
336,=Poor=,A polarizing scent. I'm on the negative pole.,,,
337,=VeryGood=,Nice for summer and someone young,,,
338,=Poor=,Regular ol' soap....,,,
339,=Excellent=,"Great product, Works fine, Thank you.",,,
340,=Unsatisfactory=,maybe its just me,,,
341,=VeryGood=,This is a fine powder. Light and easy to apply,,,
342,=Poor=,Looks too pale on me.,,,
343,=Unsatisfactory=,Not quality crystal!,,,
344,=Good=,Still wondering,,,
345,=Unsatisfactory=,Nothing special,,,
346,=Unsatisfactory=,Cant really tell,,,
347,=Poor=,Awkwardly Small,,,
348,=Good=,Ok if you don't have tea tree handy,,,
349,=VeryGood=,works great!,,,
350,=Excellent=,Great for repairing damage or for general maintenance,,,
351,=Excellent=,Perfect pink!,,,
352,=Poor=,cant make it work,,,
353,=Excellent=,Works! But no miracle.,,,
354,=Unsatisfactory=,Nail soakers,,,
355,=Excellent=,Amazon needs to edit the poduct!!,,,
356,=VeryGood=,feels really nourished,,,
357,=Good=,Not great...,,,
358,=Unsatisfactory=,not for me,,,
359,=Unsatisfactory=,"Great transfer, but full nail images are way too small.",,,
360,=Excellent=,This and lemon verbena are two of my favorite scents!,,,
361,=Poor=,"Very drying to the skin, with a residue on skin after washing. Smells like unscented lye soap. Terrible.",,,
362,=Poor=,Left My Hair Feeling Gluey,,,
363,=Excellent=,Wow I love this stuff!,,,
364,=Good=,Cannot discern a noticeable difference,,,
365,=Good=,ehhh...,,,
366,=Poor=,doesn't seem to be working,,,
367,=Poor=,Worst Eye liner I EVER used,,,
368,=VeryGood=,Great Unisex Scent,,,
369,=Poor=,"Too dark, does not stay",,,
370,=Excellent=,wow.... 100% good investment,,,
371,=Excellent=,The only wash I've used for the last 2 years.,,,
372,=Poor=,Don't like,,,
373,=Excellent=,One of my favorite nail colors,,,
374,=Excellent=,Marvelous for Drying Acne,,,
375,=Good=,Can't smell after a while.,,,
376,=Unsatisfactory=,Just O.K.,,,
377,=Good=,Great smell and decent leave in conditioner,,,
378,=Unsatisfactory=,they work but...,,,
379,=Excellent=,Nasty Habit prompted purchase of this Nasty Nail Polish.,,,
380,=Good=,"Okay product, but nothing magical - same as conditioner",,,
381,=Poor=,HORRIBLE,,,
382,=VeryGood=,Color red depends on the color of your hair,,,
383,=VeryGood=,No Propyl Glycol!  Finally!,,,
384,=Poor=,yes to volumizing,,,
385,=Excellent=,Definite Shine Control,,,
386,=Unsatisfactory=,Fragrance Free is NOT FOR ME,,,
387,=Unsatisfactory=,Doesn't do it for me,,,
388,=Excellent=,Great Stuff!,,,
389,=Excellent=,I love it,,,
390,=Excellent=,works great!,,,
391,=Unsatisfactory=,Dries Out Hair,,,
392,=Excellent=,Great product,,,
393,=Good=,"LOVE THE AROMA,BUT",,,
394,=Good=,Not sure if I love it,,,
395,=Good=,Not sure if I will buy again,,,
396,=Poor=,Not What I hoped for,,,
397,=Poor=,didn't work for me!,,,
398,=Excellent=,Love this gentle product!,,,
399,=Unsatisfactory=,Smelled funny,,,
400,=Good=,Covers well but product is thicker than I expected,,,
401,=Good=,Three Stars,,,
402,=VeryGood=,Shampoo & Body Cleanser  Aqua Glycolic,,,
403,=Unsatisfactory=,I am unhappy with this product,,,
404,=Poor=,Has mineral oil...,,,
405,=Excellent=,Great product,,,
406,=VeryGood=,Nice base coat,,,
407,=Unsatisfactory=,Hype hype hype.,,,
408,=VeryGood=,like it,,,
409,=Good=,Super bright! Hurts eyes a bit.,,,
410,=Poor=,only worked for about 4 months !,,,
411,=Unsatisfactory=,Spot Treatment? Great. All Over? Not So Much.,,,
412,=Excellent=,Great for KP (keratosis pilaris) on the backs of upper arms,,,
413,=Poor=,REALLY?,,,
414,=Good=,Very thick,,,
415,=VeryGood=,Speeds up hair drying,,,
416,=Poor=,I wish I could give this 0 stars,,,
417,=Excellent=,my new best lotion,,,
418,=Good=,"Good Facial Cleanser, Doesn't Help with Acne",,,
419,=Good=,Does what it promises,,,
420,=Good=,Very dry,,,
421,=Good=,Organic lotion,,,
422,=VeryGood=,"Helps Hair Grow Faster, but not thicker.",,,
423,=Excellent=,Great daily moisturizer,,,
424,=Good=,Its okay,,,
425,=Poor=,Returned,,,
426,=Unsatisfactory=,Not a true natural cream.,,,
427,=Unsatisfactory=,Qutre Quick Weave synthetic halfwig,,,
428,=VeryGood=,great for my beard,,,
429,=Unsatisfactory=,=(,,,
430,=Unsatisfactory=,Want to smell like a fruit smoothie? This is your lotion.,,,
431,=Poor=,Don't like it at all.,,,
432,=Excellent=,great stuff,,,
433,=VeryGood=,Great Scent - Small Bottle,,,
434,=VeryGood=,See the Neutragena above,,,
435,=Good=,Chips easily,,,
436,=VeryGood=,"Not sure if working, but smells great!",,,
437,=Unsatisfactory=,not that good,,,
438,=Good=,A Good Kit.,,,
439,=Good=,Grow Edges,,,
440,=Good=,Not super impressed.,,,
441,=Poor=,Sticky and Gross.,,,
442,=Good=,NAUTICA VOYAGE,,,
443,=VeryGood=,Good Stuff!,,,
444,=VeryGood=,I use as concealer,,,
445,=Excellent=,Nothing out There as effective and better! Give it time!,,,
446,=Unsatisfactory=,"Thick, crusty, impossible",,,
447,=Good=,Fabulous Fig and Highbeam Tan,,,
448,=VeryGood=,Smooths my frizzy hair,,,
449,=VeryGood=,"Immediate relief, but not complete",,,
450,=Excellent=,You won't regret it,,,
451,=VeryGood=,"decreases frizz, increases manageablilty!",,,
452,=Unsatisfactory=,"Nice color, no staying power",,,
453,=Excellent=,Amazing moisture!,,,
454,=VeryGood=,Soothing,,,
455,=Poor=,A Real Nightmare!!!,,,
456,=Poor=,What a let down!,,,
457,=VeryGood=,Good Product But Be Careful with Timing,,,
458,=Unsatisfactory=,"Funky smell, hard to wash out of hair",,,
459,=VeryGood=,Works great!,,,
460,=Good=,so/so,,,
461,=VeryGood=,Strong when used with cleanser,,,
462,=Good=,Perfect conditioner until I bleached my hair,,,
463,=Unsatisfactory=,Should have stuck it out longer,,,
464,=Good=,"Good for problem areas, not too great for older skin",,,
465,=Excellent=,ladies if you have 4C hair......,,,
466,=Unsatisfactory=,Good if you know how to put them on,,,
467,=Poor=,Long Time Customer... No more!,,,
468,=VeryGood=,travel case,,,
469,=Excellent=,Perfect Gift,,,
470,=Excellent=,About the Best for the Money,,,
471,=Poor=,"Too small, too flimsy, not worth the price",,,
472,=Poor=,THIS PRODUCT SUCKS !,,,
473,=Excellent=,Oprah's Choice and Mine,,,
474,=Poor=,"Sickly tint, not sweat-proof",,,
475,=Poor=,say goodbye this seller,,,
476,=Poor=,Bought because of great reviews but didn't work for me,,,
477,=Unsatisfactory=,Very sticky,,,
478,=Good=,Nice color,,,
479,=Good=,So So,,,
480,=VeryGood=,Pretty good,,,
481,=Good=,Not for layered hair,,,
482,=Good=,not really what i thought,,,
483,=Excellent=,This face wash rocks!,,,
484,=Poor=,Waste of money,,,
485,=VeryGood=,works as advertised,,,
486,=Unsatisfactory=,Interesting,,,
487,=Unsatisfactory=,Did not work,,,
488,=Excellent=,Clarifying Shampoo,,,
489,=VeryGood=,"Good product, but does not come with thermal bag!",,,
490,=Unsatisfactory=,The salt and pepper color looks like cigarette ash,,,
491,=Poor=,Would Not Recommend,,,
492,=Unsatisfactory=,Ewww,,,
493,=Unsatisfactory=,No longer impressed.,,,
494,=Excellent=,Best Astringent Ever!,,,
495,=Good=,Too soft,,,
496,=Excellent=,Great Curling Iron,,,
497,=Poor=,waste of money,,,
498,=VeryGood=,"Easy for lips, for cheeks-work quickly...",,,
499,=VeryGood=,please read this. you will be surprised as to why i gave it 4 stars,,,
500,=Poor=,Awful!!,,,
501,=Excellent=,love,,,
502,=VeryGood=,Good crayon,,,
503,=VeryGood=,nice,,,
504,=Good=,writing titles is the hardest part of the review,,,
505,=Unsatisfactory=,the scent ruins it,,,
506,=Unsatisfactory=,I also feel like this works better when you work out,,,
507,=Good=,Not Sure Yet....,,,
508,=Poor=,Useless! Did nothing!,,,
509,=VeryGood=,A Facial in a Pad,,,
510,=Good=,Greasy & The smell is powerful,,,
511,=Poor=,Not Good for Thin Hair,,,
512,=VeryGood=,Perfect for my skin but a little pricey,,,
513,=Unsatisfactory=,Smells like a used diaper filled with Indian food,,,
514,=VeryGood=,Good item,,,
515,=VeryGood=,Okay,,,
516,=Excellent=,Great color.,,,
517,=Good=,Smarter Than the Makeup,,,
518,=VeryGood=,good stuff,,,
519,=Good=,Seki Edge Blackhead Remover,,,
520,=Excellent=,One of the best moisturizers!,,,
521,=Excellent=,Good product,,,
522,=Poor=,Not a good result at all,,,
523,=Excellent=,Wonderful,,,
524,=VeryGood=,dj6136,,,
525,=Excellent=,Five Stars,,,
526,=Poor=,The product was so old that it was unusable,,,
527,=Unsatisfactory=,I Am Not Very Impressed,,,
528,=Unsatisfactory=,its not that great.,,,
529,=Good=,Ok.,,,
530,=Poor=,Good for emptying wallet,,,
531,=Good=,No Way does this smell like a creamsicle...,,,
532,=Poor=,Doesn't do anything && bad packaging. :(,,,
533,=VeryGood=,"Smells a bit like cheap perfume, but it is effective for adding moisture.",,,
534,=Good=,Not as soft as some,,,
535,=Unsatisfactory=,Doesn't Irritate But Doesn't Do A Good Job Either,,,
536,=Unsatisfactory=,Not for thick hair,,,
537,=Good=,Cheaper elsewhere,,,
538,=Unsatisfactory=,Didn't see a change,,,
539,=Good=,don't clean well,,,
540,=Excellent=,Very versatile product,,,
541,=Poor=,doesn't remove makeup at all.,,,
542,=Good=,Only Okay,,,
543,=Unsatisfactory=,Isn't Really Your Typical Mask,,,
544,=Excellent=,"Dark, easy to remove",,,
545,=Poor=,"Redheads:  just use \warmth\""""",,,
546,=Poor=,dr scholl's,,,
547,=Unsatisfactory=,Too much hype for a 'so-so' product,,,
548,=Good=,Dove has done better,,,
549,=Good=,Not a great choice for sensitive skin or older skin,,,
550,=Excellent=,Best color for my hair!,,,
551,=Poor=,horrible!,,,
552,=Good=,Pretty good but not great,,,
553,=Good=,might not buy again,,,
554,=Good=,"Eh, it's hair spray",,,
555,=Poor=,Not good,,,
556,=Good=,Not for me,,,
557,=Poor=,Returned this,,,
558,=Good=,check pricing,,,
559,=Unsatisfactory=,"Another \me-too\"" fragrance that's unoriginal""",,,
560,=Unsatisfactory=,STICKY!,,,
561,=Good=,Sticky after -feel,,,
562,=Poor=,"NASTY, NASTY, NASTY.",,,
563,=Excellent=,best kept secret ever,,,
564,=Excellent=,WELL WORTH THE PRICE,,,
565,=Excellent=,Yummy scent,,,
566,=Excellent=,Great for my shoulder length hair,,,
567,=Unsatisfactory=,Won't buy again,,,
568,=Unsatisfactory=,Wanted to Love this Eye Repair .....,,,
569,=Poor=,Cheap and most broke,,,
570,=Good=,Sticky,,,
571,=Good=,Revita-lift by L'Oreal Paris.,,,
572,=Excellent=,"Dewey, natural, with a hint of gold shimmer... you can't go wrong with Maui!",,,
573,=Excellent=,Works without breakouts,,,
574,=VeryGood=,Good,,,
575,=Good=,Nothing great,,,
576,=Excellent=,the cutest!,,,
577,=Poor=,stiff as a bristle brush,,,
578,=Poor=,way too greasy to use on my face or anyone's face,,,
579,=VeryGood=,"Great product, wish it was made in USA though...",,,
580,=Good=,really cute but...,,,
581,=Poor=,Total Waste of Time,,,
582,=Unsatisfactory=,Did not like the color Ski Teal We Drop,,,
583,=VeryGood=,Great for summer,,,
584,=Good=,Good Shampoo,,,
585,=VeryGood=,Green Tea By Elizabeth Arden For Women. Eau De Parfum Spray 3.3 Ounces,,,
586,=Unsatisfactory=,Not for me,,,
587,=Excellent=,"Smooth, Opaque",,,
588,=Unsatisfactory=,Meh,,,
589,=VeryGood=,Good,,,
590,=Good=,so-so,,,
591,=Unsatisfactory=,Not very good - spend a little extra for something better,,,
592,=Excellent=,Awesome,,,
593,=Poor=,AWFUL!  BURNT BBQ IS WHAT IT SHOULD BE!,,,
594,=Good=,ok gel,,,
595,=Excellent=,Really Good!,,,
596,=Unsatisfactory=,Not natural looking,,,
597,=Unsatisfactory=,not as good as expected,,,
598,=Excellent=,Best Adhesive By Far,,,
599,=Poor=,Not long enough,,,
600,=Poor=,not a good product at all,,,
601,=VeryGood=,Does the job,,,
602,=Unsatisfactory=,Super smelly!!,,,
603,=Good=,Alright,,,
604,=VeryGood=,Would only be better if it were a cream.,,,
605,=Excellent=,First sponge I have used.,,,
606,=Good=,Not sure how it i supposed to do what it's meant to do,,,
607,=Excellent=,"Love the name, Love the color!",,,
608,=Poor=,Yikes,,,
609,=Good=,Estee Lauder has screwed around with Youth Dew,,,
610,=VeryGood=,Good buy for the price,,,
611,=Good=,"It's okay, I can do better",,,
612,=Good=,Oy Vay!,,,
